journal_id,period,business_unit,entry_type,hours_to_post,requires_rework,posting_date,account,cost_center,amount,direction,description,preparer,approver,source_system,reversal_of,vendor_id,vendor_name
JE-1011,2026-02,Corporate,Revenue Cutoff,4.8,1,2026-02-07,4100 - Revenue Cutoff Reserve,FIN-HQ,15126,CREDIT,Revenue cutoff pending controller approval,A. Chen,FP&A Director,SAP S/4HANA,,V203,Northshore Advisory Services
JE-1012,2026-02,Inventory,Valuation,3.5,0,2026-02-09,1400 - Inventory Valuation Reserve,INV-CTRL,11398,DEBIT,Inventory valuation adjustment - Inventory,M. Foster,Controller,Oracle Fusion,,V204,Apex Industrial Components
JE-1013,2026-02,Shared Services,Expense Accrual,1.6,0,2026-02-11,6100 - Operating Expense Accrual,SHR-SVC,6413,DEBIT,Expense accrual posted - Shared Services,S. Brooks,Assistant Controller,BlackLine,,V205,Meridian Business Services
JE-1014,2026-02,EMEA,Valuation,5.4,1,2026-02-13,1400 - Inventory Valuation Reserve,EMEA-01,11979,DEBIT,Inventory valuation adjustment - EMEA,K. Morgan,Accounting Manager,Coupa,,V206,EuroSupply GmbH
JE-1015,2026-02,North America,Reclass,4.1,1,2026-02-15,2050 - AP Reclass Clearing,NA-OPS,4858,CREDIT,Balance sheet reclass - North America,J. Ellis,FP&A Director,SAP S/4HANA,,V207,Midwest Carrier Partners
JE-1016,2026-03,Distribution East,Reclass,2.9,0,2026-03-03,2050 - AP Reclass Clearing,OPS-EAST,4576,CREDIT,Balance sheet reclass - Distribution East,R. Patel,Controller,Oracle Fusion,,V201,Atlas Freight East
JE-1017,2026-03,Distribution West,Accrual,2.5,0,2026-03-05,2200 - Accrued Compensation,OPS-WEST,8818,DEBIT,Monthly accrual posted - Distribution West,A. Chen,Assistant Controller,BlackLine,,V202,Summit Route West
JE-1018,2026-03,Corporate,Expense Accrual,3.8,1,2026-03-07,6100 - Operating Expense Accrual,FIN-HQ,8076,DEBIT,Expense accrual posted - Corporate,M. Foster,Accounting Manager,Coupa,,V203,Northshore Advisory Services
JE-1019,2026-03,Inventory,Valuation,4.2,1,2026-03-09,1400 - Inventory Valuation Reserve,INV-CTRL,11609,DEBIT,Inventory valuation adjustment - Inventory,S. Brooks,FP&A Director,SAP S/4HANA,,V204,Apex Industrial Components
JE-1020,2026-03,Shared Services,Payroll Accrual,2.2,0,2026-03-11,2200 - Accrued Compensation,SHR-SVC,8750,DEBIT,Payroll accrual duplicate set,K. Morgan,Controller,Oracle Fusion,,V205,Meridian Business Services
JE-1021,2026-03,EMEA,Reclass,3.7,0,2026-03-13,2050 - AP Reclass Clearing,EMEA-01,5184,CREDIT,Balance sheet reclass - EMEA,J. Ellis,Assistant Controller,BlackLine,,V206,EuroSupply GmbH
JE-1022,2026-03,North America,Revenue Cutoff,4.4,1,2026-03-15,4100 - Revenue Cutoff Reserve,NA-OPS,13748,CREDIT,Revenue cutoff pending controller approval,R. Patel,Accounting Manager,Coupa,,V207,Midwest Carrier Partners
JE-1023,2026-04,Distribution East,Reclass,3.3,0,2026-04-03,2050 - AP Reclass Clearing,OPS-EAST,4744,CREDIT,Balance sheet reclass - Distribution East,A. Chen,FP&A Director,SAP S/4HANA,,V201,Atlas Freight East
JE-1024,2026-04,Distribution West,Valuation,3.6,1,2026-04-05,1400 - Inventory Valuation Reserve,OPS-WEST,11228,DEBIT,Inventory valuation adjustment - Distribution West,M. Foster,Controller,Oracle Fusion,,V202,Summit Route West
JE-1025,2026-04,Corporate,Reclass,4.9,1,2026-04-07,2050 - AP Reclass Clearing,FIN-HQ,28600,CREDIT,Reclass true-up for quarter close,S. Brooks,Assistant Controller,BlackLine,,V203,Northshore Advisory Services
JE-1026,2026-04,Inventory,Valuation,4,0,2026-04-09,1400 - Inventory Valuation Reserve,INV-CTRL,11415,DEBIT,Inventory valuation adjustment - Inventory,K. Morgan,Accounting Manager,Coupa,,V204,Apex Industrial Components
JE-1027,2026-04,Shared Services,Expense Accrual,1.9,0,2026-04-11,6100 - Operating Expense Accrual,SHR-SVC,6402,DEBIT,Expense accrual posted - Shared Services,J. Ellis,FP&A Director,SAP S/4HANA,,V205,Meridian Business Services
JE-1028,2026-04,EMEA,Valuation,5,1,2026-04-13,1400 - Inventory Valuation Reserve,EMEA-01,11866,DEBIT,Inventory valuation adjustment - EMEA,R. Patel,Controller,Oracle Fusion,,V206,EuroSupply GmbH
JE-1029,2026-04,North America,Expense Accrual,2.8,0,2026-04-15,6100 - Operating Expense Accrual,NA-OPS,7282,DEBIT,Expense accrual posted - North America,A. Chen,Assistant Controller,BlackLine,,V207,Midwest Carrier Partners
JE-1030,2026-05,Distribution East,Accrual,2,0,2026-05-03,2200 - Accrued Compensation,OPS-EAST,8090,DEBIT,Monthly accrual posted - Distribution East,M. Foster,Accounting Manager,Coupa,,V201,Atlas Freight East
JE-1031,2026-05,Distribution West,Reclass,3.2,1,2026-05-05,2050 - AP Reclass Clearing,OPS-WEST,4906,CREDIT,Reclass reversal awaiting approval,S. Brooks,FP&A Director,SAP S/4HANA,JE-1016,V202,Summit Route West
JE-1032,2026-05,Corporate,Revenue Cutoff,4.5,1,2026-05-07,4100 - Revenue Cutoff Reserve,FIN-HQ,14600,CREDIT,Revenue cutoff review package,K. Morgan,Controller,Oracle Fusion,,V203,Northshore Advisory Services
JE-1033,2026-05,Inventory,Valuation,3.7,0,2026-05-09,1400 - Inventory Valuation Reserve,INV-CTRL,11482,DEBIT,Inventory valuation adjustment - Inventory,J. Ellis,Assistant Controller,BlackLine,,V204,Apex Industrial Components
JE-1034,2026-05,Shared Services,Accrual,2.4,0,2026-05-11,2200 - Accrued Compensation,SHR-SVC,7900,DEBIT,Monthly accrual posted - Shared Services,R. Patel,Accounting Manager,Coupa,,V205,Meridian Business Services
JE-1035,2026-05,EMEA,Reclass,3.9,0,2026-05-13,2050 - AP Reclass Clearing,EMEA-01,5158,CREDIT,Balance sheet reclass - EMEA,A. Chen,FP&A Director,SAP S/4HANA,,V206,EuroSupply GmbH
JE-1036,2026-05,North America,Reclass,4.3,1,2026-05-15,2050 - AP Reclass Clearing,NA-OPS,4942,CREDIT,Reclass reversal awaiting approval,M. Foster,Controller,Oracle Fusion,JE-1016,V207,Midwest Carrier Partners
JE-1037,2026-03,Shared Services,Accrual,2.2,0,2026-03-17,2200 - Accrued Compensation,SHR-SVC,8750,DEBIT,Payroll accrual duplicate set,S. Brooks,Assistant Controller,BlackLine,,V205,Meridian Business Services
JE-1038,2026-04,Corporate,Revenue Cutoff,3.9,0,2026-04-17,4100 - Revenue Cutoff Reserve,FIN-HQ,15105,CREDIT,Revenue cutoff adjustment - Corporate,K. Morgan,Accounting Manager,Coupa,,V203,Northshore Advisory Services
JE-1039,2026-04,Distribution East,Revenue Cutoff,4,0,2026-04-19,4100 - Revenue Cutoff Reserve,OPS-EAST,13300,CREDIT,Revenue cutoff adjustment - Distribution East,J. Ellis,FP&A Director,SAP S/4HANA,,V201,Atlas Freight East
JE-1040,2026-04,Distribution West,Revenue Cutoff,4.1,0,2026-04-21,4100 - Revenue Cutoff Reserve,OPS-WEST,13970,CREDIT,Revenue cutoff adjustment - Distribution West,R. Patel,Controller,Oracle Fusion,,V202,Summit Route West
JE-1041,2026-05,Corporate,Revenue Cutoff,4.2,0,2026-05-17,4100 - Revenue Cutoff Reserve,FIN-HQ,52400,CREDIT,Revenue cutoff reversal under controller review,A. Chen,Assistant Controller,BlackLine,JE-1039,V203,Northshore Advisory Services
JE-1042,2026-05,North America,Revenue Cutoff,4,0,2026-05-19,4100 - Revenue Cutoff Reserve,NA-OPS,13690,CREDIT,Revenue cutoff adjustment - North America,M. Foster,Accounting Manager,Coupa,,V207,Midwest Carrier Partners
JE-1043,2026-05,EMEA,Revenue Cutoff,4.3,0,2026-05-21,4100 - Revenue Cutoff Reserve,EMEA-01,14789,CREDIT,Revenue cutoff adjustment - EMEA,S. Brooks,FP&A Director,SAP S/4HANA,,V206,EuroSupply GmbH
JE-1044,2026-05,Inventory,Valuation,3.8,0,2026-05-23,1400 - Inventory Valuation Reserve,INV-CTRL,11551,DEBIT,Inventory valuation reversal posted without base support,K. Morgan,Controller,Oracle Fusion,JE-9998,V204,Apex Industrial Components
JE-1045,2026-01,Corporate,AR Reconciliation,2.4,0,2026-01-19,1200 - Accounts Receivable Reconciliation,FIN-HQ,6328,DEBIT,Accounts receivable reconciliation - Corporate,J. Ellis,Assistant Controller,BlackLine,,V203,Northshore Advisory Services
JE-1046,2026-01,Distribution East,AR Reconciliation,2.7,0,2026-01-21,1200 - Accounts Receivable Reconciliation,OPS-EAST,5646,DEBIT,Accounts receivable reconciliation - Distribution East,R. Patel,Accounting Manager,Coupa,,V201,Atlas Freight East
JE-1047,2026-02,Distribution West,AR Reconciliation,2.9,0,2026-02-17,1200 - Accounts Receivable Reconciliation,OPS-WEST,6094,DEBIT,Accounts receivable reconciliation - Distribution West,A. Chen,FP&A Director,SAP S/4HANA,,V202,Summit Route West
JE-1048,2026-02,Shared Services,AR Reconciliation,3.1,0,2026-02-19,1200 - Accounts Receivable Reconciliation,SHR-SVC,5502,DEBIT,Accounts receivable reconciliation - Shared Services,M. Foster,Controller,Oracle Fusion,,V205,Meridian Business Services
JE-1049,2026-03,North America,AR Reconciliation,3,0,2026-03-19,1200 - Accounts Receivable Reconciliation,NA-OPS,6063,DEBIT,Accounts receivable reconciliation - North America,S. Brooks,Assistant Controller,BlackLine,,V207,Midwest Carrier Partners
JE-1050,2026-03,EMEA,AR Reconciliation,3.4,1,2026-03-21,1200 - Accounts Receivable Reconciliation,EMEA-01,6317,DEBIT,AR reconciliation follow-up,K. Morgan,Accounting Manager,Coupa,,V206,EuroSupply GmbH
JE-1051,2026-04,Corporate,AR Reconciliation,3.2,1,2026-04-23,1200 - Accounts Receivable Reconciliation,FIN-HQ,6499,DEBIT,AR reconciliation follow-up,J. Ellis,FP&A Director,SAP S/4HANA,,V203,Northshore Advisory Services
JE-1052,2026-04,Distribution East,AR Reconciliation,3.5,1,2026-04-24,1200 - Accounts Receivable Reconciliation,OPS-EAST,5818,DEBIT,AR reconciliation follow-up,R. Patel,Controller,Oracle Fusion,,V201,Atlas Freight East
JE-1053,2026-05,Distribution West,AR Reconciliation,3.3,1,2026-05-24,1200 - Accounts Receivable Reconciliation,OPS-WEST,6208,DEBIT,AR reconciliation follow-up,A. Chen,Assistant Controller,BlackLine,,V202,Summit Route West
JE-1054,2026-05,Shared Services,AR Reconciliation,3.6,1,2026-05-25,1200 - Accounts Receivable Reconciliation,SHR-SVC,5630,DEBIT,AR reconciliation follow-up,M. Foster,Accounting Manager,Coupa,,V205,Meridian Business Services
JE-1055,2026-01,Corporate,FS Package Review,4.5,0,2026-01-23,9000 - Financial Statement Package,FIN-HQ,3412,DEBIT,Financial statement package review - Corporate,S. Brooks,FP&A Director,SAP S/4HANA,,V203,Northshore Advisory Services
JE-1056,2026-02,Corporate,FS Package Review,4.7,0,2026-02-21,9000 - Financial Statement Package,FIN-HQ,3496,DEBIT,Financial statement package review - Corporate,K. Morgan,Controller,Oracle Fusion,,V203,Northshore Advisory Services
JE-1057,2026-03,Corporate,FS Package Review,4.8,0,2026-03-23,9000 - Financial Statement Package,FIN-HQ,3566,DEBIT,Financial statement package review - Corporate,J. Ellis,Assistant Controller,BlackLine,,V203,Northshore Advisory Services
JE-1058,2026-04,Corporate,FS Package Review,5,1,2026-04-25,9000 - Financial Statement Package,FIN-HQ,2400,CREDIT,FS package reversal posted without base,R. Patel,Accounting Manager,Coupa,JE-9999,V203,Northshore Advisory Services
JE-1059,2026-04,Shared Services,FS Package Review,5.1,1,2026-04-27,9000 - Financial Statement Package,SHR-SVC,3216,DEBIT,Financial statement package review - Shared Services,A. Chen,FP&A Director,SAP S/4HANA,,V205,Meridian Business Services
JE-1060,2026-05,Corporate,FS Package Review,5.2,1,2026-05-27,9000 - Financial Statement Package,FIN-HQ,2600,CREDIT,FS package reversal for controller close book,M. Foster,Controller,Oracle Fusion,JE-1055,V203,Northshore Advisory Services
JE-1061,2026-05,North America,FS Package Review,5.3,1,2026-05-28,9000 - Financial Statement Package,NA-OPS,3320,DEBIT,Financial statement package review - North America,S. Brooks,Assistant Controller,BlackLine,,V207,Midwest Carrier Partners
JE-1062,2026-05,EMEA,FS Package Review,5.4,1,2026-05-28,9000 - Financial Statement Package,EMEA-01,3581,DEBIT,Financial statement package review - EMEA,K. Morgan,Accounting Manager,Coupa,,V206,EuroSupply GmbH
JE-1063,2026-05,Distribution East,FS Package Review,5.1,1,2026-05-28,9000 - Financial Statement Package,OPS-EAST,3304,DEBIT,Financial statement package reversal missing supporting close book,J. Ellis,FP&A Director,SAP S/4HANA,JE-9997,V201,Atlas Freight East
JE-1064,2026-05,Distribution West,FS Package Review,5,1,2026-05-28,9000 - Financial Statement Package,OPS-WEST,3513,DEBIT,Financial statement package review - Distribution West,R. Patel,Controller,Oracle Fusion,,V202,Summit Route West
JE-1065,2026-05,Corporate,Accrual,2.8,0,2026-05-18,2200 - Accrued Compensation,FIN-HQ,8420,DEBIT,Monthly accrual posted - Corporate,S. Brooks,Controller,BlackLine,,V203,Northshore Advisory Services
JE-1066,2026-05,Distribution East,Reclass,3.7,1,2026-05-20,2050 - AP Reclass Clearing,OPS-EAST,6125,CREDIT,AP reclass pending approver review,R. Patel,Assistant Controller,Oracle Fusion,,V201,Atlas Freight East
JE-1067,2026-05,North America,Expense Accrual,2.6,0,2026-05-22,6100 - Operating Expense Accrual,NA-OPS,7345,DEBIT,Expense accrual posted - North America,M. Foster,Accounting Manager,Coupa,,V207,Midwest Carrier Partners
JE-1068,2026-05,EMEA,AR Reconciliation,3.1,1,2026-05-26,1200 - Accounts Receivable Reconciliation,EMEA-01,6488,DEBIT,AR reconciliation aging tie-out pending,K. Morgan,FP&A Director,SAP S/4HANA,,V206,EuroSupply GmbH
JE-1069,2026-05,Inventory,Valuation,4.4,1,2026-05-26,1400 - Inventory Valuation Reserve,INV-CTRL,11904,DEBIT,Inventory valuation roll-forward pending sign-off,A. Chen,Controller,BlackLine,,V204,Apex Industrial Components
JE-1070,2026-05,Shared Services,FS Package Review,5.2,1,2026-05-29,9000 - Financial Statement Package,SHR-SVC,3378,DEBIT,Financial statement package review - Shared Services,J. Ellis,Assistant Controller,Coupa,,V205,Meridian Business Services
